Chro	strand	start	end	#CGs	length	score	cov_control	cov_tumor	meth_control	meth_tumor
chr2	-	241844343	241844364	3	21	122.76	3.88	5.5	0.0	17.08	
chr2	-	241844372	241844396	3	24	222.8	3.88	5.57	0.0	35.71	
chr3	+	2098600	2098622	3	22	118.08	2.43	5.88	0.0	33.33	
chr3	+	2098724	2098746	4	22	165.65	2.36	5.73	0.0	26.45	
chr3	+	2098728	2098746	3	18	137.14	2.38	5.88	0.0	30.12	
chr3	+	3126761	3126779	3	18	67.6	5.6	6.0	0.0	20.0	
chr3	+	4467030	4467053	3	23	203.52	5.5	5.62	0.0	31.7	
chr3	+	5011734	5011758	3	24	50.7	4.88	8.5	0.0	10.0	
chr3	+	5122395	5122416	3	21	156.03	3.8	5.57	0.0	28.57	
chr3	+	5122410	5122430	3	20	139.48	3.8	5.57	0.0	25.48	
chr3	+	9932946	9932970	4	24	301.05	3.9	5.33	0.0	41.39	
chr3	+	9932952	9932970	3	18	264.64	4.0	5.33	0.0	47.04	
chr3	+	10165244	10165265	3	21	107.99	3.25	4.33	0.0	31.48	
chr3	+	10165254	10165276	3	22	92.73	3.25	4.75	0.0	31.25	
chr3	+	10248662	10248682	3	20	58.89	4.25	4.2	0.0	30.67	
chr3	+	11643291	11643309	3	18	88.15	5.33	4.88	0.0	19.58	
chr3	+	12004670	12004693	3	23	79.01	3.57	4.0	0.0	30.55	
chr3	+	12004735	12004759	3	24	109.34	3.43	4.0	0.0	39.44	
chr3	+	12004747	12004768	3	21	174.38	3.43	4.0	0.0	52.78	
chr3	+	12004759	12004780	4	21	208.54	3.5	4.0	0.0	42.71	
chr3	+	12004936	12004959	3	23	43.25	3.5	4.0	0.0	22.22	
chr3	+	12663704	12663723	3	19	110.5	4.75	4.62	0.0	22.92	
chr3	+	12994090	12994114	3	24	174.1	4.38	5.0	0.0	24.07	
chr3	+	13282765	13282785	3	20	210.9	7.5	4.0	0.0	37.96	
chr3	+	13282782	13282806	3	24	176.25	8.0	4.0	0.0	34.26	
chr3	+	13283239	13283263	3	24	72.5	7.5	3.86	0.0	26.19	
chr3	+	13480074	13480093	3	19	87.09	4.5	4.14	0.0	29.76	
chr3	+	13480624	13480647	3	23	68.31	4.4	4.2	0.0	31.67	
chr3	+	13549260	13549284	3	24	219.86	6.38	3.57	0.0	72.62	
chr3	+	13549280	13549304	5	24	453.76	7.09	3.46	0.0	76.28	
chr3	+	13549284	13549304	4	20	334.05	7.0	3.5	0.0	71.67	
chr3	+	13549293	13549316	5	23	493.53	7.09	3.43	0.0	67.26	
chr3	+	13549301	13549325	6	24	617.16	6.6	3.33	0.0	68.06	
chr3	+	13549304	13549325	5	21	509.55	6.46	3.33	0.0	63.89	
chr3	+	13549312	13549334	5	22	486.08	6.21	3.33	0.0	60.56	
chr3	+	13549316	13549334	4	18	384.59	6.27	3.33	0.0	59.03	
chr3	+	14810582	14810606	3	24	109.32	6.38	4.25	0.0	45.83	
chr3	+	15427723	15427747	3	24	139.95	5.4	5.43	0.0	25.0	
chr3	+	15427730	15427750	3	20	149.01	5.4	6.0	0.0	20.83	
chr3	+	16513632	16513653	3	21	37.56	3.0	3.5	0.0	33.33	
chr3	+	16884504	16884528	3	24	66.82	4.71	9.5	0.0	15.97	
chr3	+	16884761	16884785	3	24	71.05	5.0	8.5	0.0	21.83	
chr3	+	16884984	16885008	3	24	73.64	5.33	8.5	0.0	22.38	
chr3	+	16885272	16885296	3	24	77.97	5.57	8.33	0.0	20.0	
chr3	+	19147469	19147493	3	24	37.03	3.5	5.83	0.0	14.88	
chr3	+	27484420	27484438	3	18	150.35	2.33	5.29	0.0	30.36	
chr3	+	32570468	32570492	3	24	160.0	5.0	7.5	0.0	19.44	
chr3	+	32570489	32570512	3	23	118.34	5.0	7.5	0.0	19.44	
chr3	+	33113837	33113861	3	24	158.69	6.25	7.75	0.0	18.45	
chr3	+	33439790	33439814	3	24	66.92	2.8	9.5	0.0	15.71	
chr3	+	33440059	33440081	4	22	86.0	2.67	9.5	0.0	14.82	
chr3	+	33440096	33440115	4	19	65.72	2.57	9.12	0.0	14.58	
chr3	+	33440179	33440197	3	18	71.45	2.75	9.6	0.0	22.5	
chr3	+	33440474	33440493	3	19	154.7	3.8	9.0	0.0	38.49	
chr3	+	37861849	37861871	3	22	168.01	7.0	4.0	1.11	38.89	
chr3	+	38039414	38039433	3	19	60.19	3.33	7.0	0.0	20.56	
chr3	+	39810851	39810873	3	22	199.28	5.43	3.62	0.0	52.08	
chr3	+	40457581	40457601	3	20	150.62	3.86	3.5	0.0	36.11	
chr3	+	42600373	42600395	3	22	72.62	5.67	7.5	0.0	22.22	
chr3	+	43998196	43998220	3	24	63.96	5.5	8.0	0.0	18.06	
chr3	+	43998560	43998582	3	22	176.12	5.0	6.25	0.0	40.42	
chr3	+	44685486	44685508	4	22	78.24	4.29	4.0	0.0	26.04	
chr3	+	44685702	44685723	3	21	116.99	4.0	3.71	0.0	42.86	
chr3	+	44976219	44976240	4	21	96.37	4.0	4.5	0.0	39.58	
chr3	+	45226513	45226534	3	21	61.03	5.17	6.83	0.0	18.06	
chr3	+	46701482	46701500	3	18	425.74	6.29	7.0	0.0	70.68	
chr3	+	46882100	46882120	3	20	195.54	3.5	10.5	0.0	34.92	
chr3	+	46882259	46882283	5	24	372.9	3.27	10.5	0.0	40.91	
chr3	+	46882262	46882283	4	21	293.85	3.22	10.5	0.0	39.53	
chr3	+	46882278	46882300	5	22	430.16	3.08	10.5	0.0	43.96	
chr3	+	46882280	46882303	5	23	333.93	3.08	10.5	0.0	36.64	
chr3	+	46882283	46882307	5	24	304.27	3.27	10.5	0.0	34.06	
chr3	+	46882287	46882307	4	20	200.96	3.0	10.5	0.0	27.29	
chr3	+	46882439	46882460	3	21	164.31	3.14	10.0	0.0	35.52	
chr3	+	46882572	46882590	4	18	199.14	5.0	9.86	0.0	27.38	
chr3	+	46883066	46883086	3	20	45.92	3.4	10.0	0.0	9.79	
chr3	+	46883379	46883403	3	24	70.22	4.5	10.0	0.0	14.88	
chr3	+	46883523	46883541	3	18	84.1	5.2	10.0	0.0	15.44	
chr3	+	46892418	46892442	3	24	94.7	4.0	8.5	0.0	21.11	
chr3	+	46892440	46892461	4	21	169.3	4.44	8.5	0.0	27.92	
chr3	+	46892442	46892461	3	19	131.74	4.29	8.5	0.0	30.55	
chr3	+	46892453	46892475	4	22	144.25	5.83	8.5	0.0	24.58	
chr3	+	46892461	46892481	4	20	115.03	5.29	8.5	0.0	18.54	
chr3	+	46898564	46898586	3	22	250.42	9.0	6.14	0.0	51.87	
chr3	+	46898856	46898878	3	22	255.95	5.0	6.14	0.0	67.46	
chr3	+	46898878	46898902	3	24	209.68	5.0	6.14	0.0	53.77	
chr3	+	46979831	46979855	3	24	55.24	6.11	6.0	0.0	20.04	
chr3	+	46979850	46979871	3	21	50.79	6.22	6.0	0.0	18.61	
chr3	+	47578135	47578154	3	19	224.92	5.25	5.25	0.0	51.67	
chr3	+	47578142	47578160	3	18	265.7	5.25	5.0	0.0	51.67	
chr3	+	47578154	47578174	3	20	234.13	5.25	5.0	0.0	46.11	
chr3	+	48440305	48440328	3	23	43.44	5.67	8.0	0.0	11.71	
chr3	+	48446744	48446768	3	24	111.39	4.0	7.86	0.0	28.37	
chr3	+	48609537	48609558	3	21	105.68	7.6	5.5	0.0	41.67	
chr3	+	48898499	48898522	3	23	123.75	4.86	9.5	0.0	31.94	
chr3	+	48918877	48918898	3	21	79.73	5.62	12.0	0.0	14.44	
chr3	+	48918887	48918907	3	20	114.57	5.62	12.0	0.0	20.56	
chr3	+	48918898	48918918	3	20	119.88	5.62	12.17	0.0	21.39	
chr3	+	48918975	48918996	3	21	116.73	5.33	12.5	0.0	20.48	
chr3	+	48918981	48919005	3	24	102.87	5.33	12.5	0.0	17.94	
chr3	+	48919061	48919080	4	19	154.22	5.17	12.5	0.0	20.24	
chr3	+	48919075	48919097	4	22	158.01	5.0	12.25	0.0	21.07	
chr3	+	48919080	48919100	4	20	122.42	5.0	12.12	0.0	16.38	
chr3	+	48919409	48919433	5	24	182.5	5.0	12.0	0.0	19.62	
chr3	+	48919413	48919435	5	22	225.15	5.0	12.0	0.0	24.21	
chr3	+	48919415	48919438	5	23	261.27	5.0	12.0	0.0	28.13	
chr3	+	48919417	48919438	4	21	251.18	5.0	12.0	0.0	33.78	
chr3	+	49357434	49357457	3	23	34.62	4.88	7.4	0.0	11.86	
chr3	+	49674202	49674226	3	24	93.9	2.25	7.0	0.0	27.78	
chr3	+	49674213	49674236	3	23	90.19	2.25	7.0	0.0	26.95	
chr3	+	49686726	49686749	3	23	95.15	2.67	4.8	0.0	55.33	
chr3	+	49686745	49686766	3	21	105.22	2.8	4.8	0.0	58.67	
chr3	+	49689658	49689680	3	22	87.63	2.4	6.0	0.0	38.89	
chr3	+	49689764	49689788	3	24	112.36	2.2	5.33	0.0	47.22	
chr3	+	49689850	49689872	4	22	77.17	2.44	5.14	0.0	28.57	
chr3	+	49689853	49689872	3	19	57.71	2.5	5.2	0.0	30.0	
chr3	+	49689872	49689892	3	20	39.54	2.29	5.2	0.0	20.67	
chr3	+	49803204	49803224	3	20	33.81	4.75	6.0	0.0	12.22	
chr3	+	49803222	49803246	4	24	76.47	5.0	6.0	0.0	20.62	
chr3	+	49803224	49803246	3	22	67.38	5.29	6.0	0.0	24.17	
chr3	+	50155613	50155631	3	18	188.65	2.29	5.5	0.0	27.29	
chr3	+	50275320	50275342	4	22	283.5	5.5	4.64	0.0	68.94	
chr3	+	50275322	50275342	3	20	224.84	5.5	4.75	0.0	72.92	
chr3	+	50275329	50275352	3	23	197.83	5.5	4.75	0.0	65.62	
chr3	+	50336993	50337016	3	23	46.71	2.33	7.5	0.0	10.0	
chr3	+	50337002	50337024	3	22	64.88	2.33	7.5	0.0	13.89	
chr3	+	50337179	50337199	3	20	45.6	2.33	7.0	0.0	10.65	
chr3	+	50365004	50365024	3	20	50.55	7.2	7.0	0.0	14.17	
chr3	+	50365446	50365467	3	21	46.98	7.5	7.0	0.0	13.17	
chr3	+	50569490	50569512	3	22	149.04	6.57	3.88	0.0	29.16	
chr3	+	50674831	50674850	4	19	310.36	3.67	6.67	0.0	29.44	
chr3	+	51391560	51391584	3	24	147.14	4.62	6.56	0.0	24.18	
chr3	+	51392192	51392213	3	21	191.47	4.33	6.0	0.0	35.93	
chr3	+	51672350	51672368	3	18	149.73	7.0	5.33	1.67	35.48	
chr3	+	51975214	51975232	3	18	162.99	4.57	5.0	0.0	35.0	
chr3	+	52373304	52373322	3	18	85.19	6.71	8.0	0.0	22.22	
chr3	+	52897407	52897428	3	21	189.81	3.5	5.75	0.0	38.54	
chr3	+	52897569	52897587	4	18	273.58	3.67	6.0	0.0	34.03	
chr3	+	53046618	53046636	3	18	131.43	6.0	5.43	0.0	37.52	
chr3	+	53156578	53156602	3	24	115.89	5.88	2.5	0.0	56.25	
chr3	+	53256063	53256083	3	20	64.0	9.6	6.83	2.0	20.83	
chr3	+	53347883	53347907	3	24	126.85	6.0	5.0	0.0	60.0	
chr3	+	53881892	53881912	3	20	66.23	5.6	6.14	0.0	17.62	
chr3	+	53882025	53882049	3	24	117.06	5.0	5.14	0.0	39.05	
chr3	+	54087985	54088008	3	23	469.68	3.67	6.0	0.0	76.11	
chr3	+	54122076	54122097	3	21	223.1	5.29	6.0	0.0	29.44	
chr3	+	56557068	56557090	3	22	137.73	6.0	6.89	0.0	24.18	
chr3	+	56802132	56802152	3	20	251.82	2.4	7.0	0.0	33.25	
chr3	+	57165177	57165195	4	18	225.1	3.7	6.0	0.0	25.69	
chr3	+	58177765	58177788	3	23	161.73	5.88	7.0	0.0	25.37	
chr3	+	58332727	58332751	3	24	64.66	5.5	7.57	0.0	14.8	
chr3	+	58333014	58333037	3	23	42.98	5.29	8.5	0.0	10.28	
chr3	+	58491982	58492002	3	20	152.94	4.67	5.75	0.0	28.87	
chr3	+	62378735	62378759	3	24	262.05	3.0	3.67	0.0	74.07	
chr3	+	62379322	62379345	3	23	216.94	3.0	4.0	0.0	58.89	
chr3	+	62379338	62379361	3	23	161.34	3.0	4.25	0.0	49.58	
chr3	+	63863939	63863963	3	24	51.9	4.12	6.5	0.0	16.67	
chr3	+	64685970	64685994	3	24	252.24	3.0	8.67	0.0	29.63	
chr3	+	64686066	64686087	3	21	224.63	3.0	8.67	0.0	28.82	
chr3	+	64686291	64686311	3	20	235.88	3.0	8.67	0.0	29.81	
chr3	+	64686377	64686400	3	23	113.01	3.0	9.25	0.0	15.2	
chr3	+	64687930	64687948	3	18	277.97	3.5	8.0	0.0	36.3	
chr3	+	64688351	64688375	4	24	443.5	3.0	7.82	0.0	43.48	
chr3	+	64688353	64688375	3	22	400.88	3.0	7.75	0.0	54.17	
chr3	+	68932240	68932262	3	22	146.47	7.0	6.0	0.0	42.5	
chr3	+	71724991	71725013	3	22	100.38	4.33	3.14	0.0	40.48	
chr3	+	71753974	71753996	4	22	102.07	7.0	9.29	0.0	20.71	
chr3	+	71753979	71753999	4	20	90.17	7.0	9.0	0.0	16.04	
chr3	+	71754149	71754167	4	18	106.66	7.0	9.0	0.0	19.7	
chr3	+	71754399	71754422	4	23	85.23	7.5	9.0	0.0	15.83	
chr3	+	72446899	72446921	3	22	57.71	6.0	3.2	0.0	50.0	
chr3	+	72447204	72447228	3	24	64.88	5.0	3.5	0.0	62.5	
chr3	+	72447557	72447580	3	23	117.63	6.0	3.5	0.0	72.22	
chr3	+	72739119	72739142	3	23	206.49	5.4	6.33	0.0	28.89	
chr3	+	72848304	72848328	3	24	82.25	8.0	6.14	0.0	15.87	
chr3	+	76137342	76137365	3	23	543.81	1.62	7.33	0.0	75.74	
chr3	+	78791527	78791545	3	18	259.73	4.5	5.71	0.0	74.76	
chr3	+	86990788	86990811	4	23	383.79	5.5	4.33	0.0	71.53	
chr3	+	86990790	86990814	4	24	366.03	5.5	4.33	0.0	67.36	
chr3	+	86990817	86990841	4	24	390.48	5.5	4.33	0.0	73.61	
chr3	+	86990820	86990841	3	21	272.57	5.5	4.33	0.0	68.52	
chr3	+	86990841	86990864	3	23	242.82	5.6	4.62	0.0	70.0	
chr3	+	86990861	86990881	4	20	287.26	5.57	4.8	0.0	65.17	
chr3	+	86990864	86990887	4	23	292.06	5.57	4.55	0.0	58.79	
chr3	+	86990878	86990898	5	20	256.57	5.5	4.69	0.0	43.21	
chr3	+	86990887	86990911	4	24	149.73	5.5	4.8	0.0	32.0	
chr3	+	86990997	86991018	4	21	219.15	6.0	4.8	0.0	49.83	
chr3	+	86991008	86991026	5	18	253.17	6.0	4.69	0.0	43.59	
chr3	+	86991018	86991042	5	24	226.18	6.0	4.92	0.0	41.67	
chr3	+	86991023	86991042	4	19	155.95	6.0	4.8	0.0	33.33	
chr3	+	91580936	91580956	3	20	84.5	1.0	1.0	0.0	83.33	
chr3	+	92604673	92604697	3	24	86.56	3.0	3.0	0.0	66.67	
chr3	+	92706085	92706109	3	24	109.77	1.0	1.38	0.0	81.25	
chr3	+	96813964	96813987	3	23	92.36	4.0	5.29	0.0	28.57	
chr3	+	99876172	99876190	3	18	49.2	3.8	6.0	0.0	18.06	
chr3	+	99876255	99876276	5	21	126.42	3.88	6.25	0.0	34.38	
chr3	+	99876258	99876276	4	18	96.15	3.71	6.33	0.0	34.72	
chr3	+	99876322	99876345	3	23	39.36	3.8	6.0	0.0	14.44	
chr3	+	100709688	100709712	4	24	126.87	7.25	8.56	0.0	18.83	
chr3	+	101849900	101849922	3	22	163.42	3.62	5.0	0.0	25.93	
chr3	+	107928028	107928049	3	21	84.5	5.43	9.0	0.0	16.67	
chr3	+	107928035	107928055	3	20	99.1	5.43	9.0	0.0	20.83	
chr3	+	108091361	108091384	3	23	151.4	5.86	5.57	0.0	31.43	
chr3	+	112561830	112561849	3	19	73.01	3.86	6.29	0.0	21.09	
chr3	+	113019606	113019626	3	20	90.22	6.2	6.25	0.0	26.25	
chr3	+	113211640	113211661	4	21	240.29	3.6	8.33	0.0	22.03	
chr3	+	113211642	113211661	3	19	202.96	3.71	8.33	0.0	23.98	
chr3	+	119240770	119240791	4	21	128.53	2.62	7.29	0.0	19.05	
chr3	+	119240773	119240791	3	18	109.07	2.6	7.4	0.0	20.0	
chr3	+	119240828	119240851	3	23	161.61	3.8	6.29	0.0	24.66	
chr3	+	119240965	119240988	3	23	142.13	2.75	6.29	0.0	21.38	
chr3	+	119240974	119240992	3	18	80.59	2.75	7.0	0.0	16.06	
chr3	+	119240988	119241011	4	23	205.01	3.11	7.0	0.0	25.66	
chr3	+	119240992	119241011	3	19	150.84	3.33	7.0	0.0	25.7	
chr3	+	120450700	120450721	3	21	61.77	4.33	2.5	0.0	62.5	
chr3	+	122514434	122514454	3	20	99.4	4.62	8.43	0.0	24.34	
chr3	+	122682768	122682788	3	20	298.24	5.0	5.88	0.0	77.23	
chr3	+	122793812	122793830	3	18	118.37	5.0	5.71	0.0	41.67	
chr3	+	123027943	123027964	3	21	172.59	5.8	3.0	0.0	53.7	
chr3	+	123201953	123201975	4	22	86.29	5.09	5.8	0.0	38.0	
chr3	+	123202157	123202181	4	24	71.91	5.3	5.8	0.0	31.67	
chr3	+	123202163	123202181	3	18	49.2	5.43	5.5	0.0	27.08	
chr3	+	123448125	123448146	3	21	248.32	3.0	4.67	0.0	33.33	
chr3	+	124033078	124033102	4	24	138.11	3.0	8.0	0.0	21.88	
chr3	+	124033081	124033102	3	21	95.86	2.88	8.0	0.0	20.83	
chr3	+	124033634	124033654	3	20	150.53	2.71	7.43	0.0	41.43	
chr3	+	124584707	124584730	3	23	99.91	3.5	6.67	0.0	23.33	
chr3	+	124584716	124584740	5	24	177.38	3.67	5.67	0.0	37.36	
chr3	+	124584734	124584757	4	23	142.89	3.71	5.6	0.0	40.0	
chr3	+	124584737	124584760	4	23	124.99	3.71	6.11	0.0	34.26	
chr3	+	124584740	124584760	3	20	83.31	3.8	6.14	0.0	26.19	
chr3	+	124886868	124886890	3	22	102.54	7.75	5.6	0.0	46.67	
chr3	+	124887050	124887074	3	24	45.84	7.38	6.5	0.0	13.89	
chr3	+	125055695	125055717	3	22	111.89	3.29	9.0	0.0	18.06	
chr3	+	126356659	126356682	3	23	101.8	4.62	2.83	0.0	44.44	
chr3	+	126389253	126389272	3	19	140.84	5.5	5.0	0.0	29.07	
chr3	+	126475998	126476021	3	23	72.21	3.88	4.17	0.0	38.89	
chr3	+	126654603	126654623	3	20	142.92	4.8	5.88	0.0	38.54	
chr3	+	126654619	126654639	3	20	143.07	4.8	5.88	0.0	31.25	
chr3	+	126661179	126661202	3	23	306.8	3.43	6.0	0.0	57.41	
chr3	+	126983045	126983068	3	23	56.34	3.8	2.5	0.0	33.33	
chr3	+	126983052	126983071	3	19	80.18	3.67	2.43	0.0	35.71	
chr3	+	126983068	126983088	4	20	131.08	4.0	2.4	0.0	45.0	
chr3	+	127598349	127598370	3	21	78.99	5.29	4.67	0.0	43.65	
chr3	+	127629032	127629053	4	21	299.77	3.78	4.09	0.0	55.91	
chr3	+	127629044	127629067	5	23	333.49	4.2	4.0	0.0	51.07	
chr3	+	127629048	127629067	4	19	237.64	4.12	4.0	0.0	49.09	
chr3	+	127629188	127629209	3	21	120.78	4.0	4.14	0.0	38.09	
chr3	+	128052327	128052348	3	21	33.37	3.62	5.5	0.0	10.71	
chr3	+	128555789	128555812	3	23	141.92	3.0	5.67	0.0	28.54	
chr3	+	129606758	129606779	4	21	234.33	4.5	5.4	0.0	37.1	
chr3	+	129606760	129606779	3	19	225.98	4.5	5.0	0.0	39.63	
chr3	+	130002753	130002776	3	23	136.48	6.57	6.5	0.0	21.58	
chr3	+	130747786	130747810	3	24	186.23	8.0	5.5	0.0	68.06	
chr3	+	130894100	130894119	5	19	73.99	4.08	8.0	0.0	10.75	
chr3	+	130894268	130894292	3	24	112.56	3.62	8.0	0.0	30.55	
chr3	+	136751728	136751751	3	23	161.83	7.5	3.57	0.0	28.57	
chr3	+	138594303	138594326	3	23	74.09	5.5	5.88	0.0	16.67	
chr3	+	138939972	138939994	3	22	101.18	8.33	4.0	0.0	45.71	
chr3	+	139389969	139389992	3	23	40.32	4.67	6.0	0.0	14.44	
chr3	+	139936200	139936221	3	21	181.9	5.33	4.29	0.0	48.81	
chr3	+	141311448	141311469	3	21	120.36	6.33	10.4	0.0	31.33	
chr3	+	142889025	142889045	4	20	109.57	4.0	7.8	0.0	16.26	
chr3	+	142963684	142963705	3	21	75.85	7.5	5.0	0.0	57.14	
chr3	+	146251191	146251211	3	20	35.0	5.5	6.0	0.0	12.5	
chr3	+	147419128	147419151	3	23	124.9	3.56	7.0	0.0	33.56	
chr3	+	148991937	148991955	3	18	188.47	3.75	6.67	0.0	26.3	
chr3	+	150408721	150408745	3	24	43.03	10.0	5.5	0.0	15.28	
chr3	+	150410680	150410698	3	18	70.42	10.2	6.0	1.54	20.83	
chr3	+	150763533	150763556	3	23	324.57	6.62	6.67	0.0	31.48	
chr3	+	151087228	151087250	3	22	87.35	4.0	10.0	0.0	17.22	
chr3	+	159322519	159322537	3	18	69.31	5.67	8.0	0.0	20.0	
chr3	+	161372611	161372635	3	24	158.87	4.25	5.14	0.0	50.0	
chr3	+	171810585	171810608	3	23	115.39	7.0	4.62	0.0	30.0	
chr3	+	174441482	174441501	3	19	212.89	7.2	6.38	0.0	40.05	
chr3	+	177196488	177196506	4	18	231.98	3.33	4.4	0.0	43.67	
chr3	+	177197681	177197701	4	20	173.09	3.6	5.0	0.0	42.5	
chr3	+	177197960	177197982	3	22	143.05	3.88	4.4	0.0	60.0	
chr3	+	179267031	179267052	3	21	278.52	4.5	7.43	0.0	59.76	
chr3	+	181704323	181704343	4	20	226.74	7.0	6.64	0.0	30.6	
chr3	+	181719400	181719424	4	24	170.93	5.8	5.29	0.0	61.91	
chr3	+	182793396	182793416	3	20	72.67	6.67	6.57	0.0	23.57	
chr3	+	182793406	182793425	3	19	78.92	7.12	6.57	0.0	24.76	
chr3	+	182980255	182980274	3	19	198.09	3.0	3.67	0.0	49.26	
chr3	+	182980261	182980281	3	20	201.12	3.4	3.67	0.0	53.7	
chr3	+	182980533	182980556	3	23	189.63	5.0	3.5	0.0	50.0	
chr3	+	183254607	183254630	3	23	116.15	5.5	5.71	0.0	33.33	
chr3	+	183825576	183825598	4	22	53.92	5.0	3.0	0.0	38.54	
chr3	+	183825579	183825598	3	19	43.11	5.0	3.0	0.0	45.83	
chr3	+	183884775	183884798	3	23	313.79	1.67	6.0	0.0	41.8	
chr3	+	184156312	184156330	3	18	80.33	7.0	4.8	0.0	35.0	
chr3	+	184185598	184185622	3	24	101.75	4.0	7.5	0.0	29.17	
chr3	+	184186146	184186164	3	18	94.18	3.6	7.5	0.0	26.39	
chr3	+	184186218	184186236	3	18	66.04	3.5	7.5	0.0	19.05	
chr3	+	184230646	184230665	3	19	138.15	3.0	6.33	0.0	21.48	
chr3	+	184230792	184230814	4	22	288.24	3.57	6.36	0.0	36.44	
chr3	+	184230904	184230925	4	21	216.13	3.57	7.25	0.0	35.65	
chr3	+	184230909	184230929	4	20	222.39	3.57	7.62	0.0	36.49	
chr3	+	184230911	184230929	3	18	175.45	3.5	7.29	0.0	34.56	
chr3	+	186567098	186567118	3	20	71.55	2.75	7.75	0.0	13.26	
chr3	+	186772582	186772605	3	23	112.56	5.0	9.33	0.0	27.08	
chr3	+	187738516	187738534	3	18	116.5	4.0	7.88	0.0	12.27	
chr3	+	187740049	187740073	4	24	267.01	4.14	7.0	0.0	23.61	
chr3	+	187743319	187743341	3	22	317.55	3.0	7.0	0.0	39.82	
chr3	+	187743334	187743355	3	21	298.7	3.0	7.0	0.0	37.82	
chr3	+	187743742	187743763	3	21	246.08	3.0	7.0	0.0	22.13	
chr3	+	188153719	188153739	3	20	83.89	6.8	7.43	0.0	17.86	
chr3	+	188947630	188947650	3	20	140.78	6.0	3.57	0.0	71.43	
chr3	+	188947710	188947730	3	20	77.39	4.0	3.29	0.0	36.9	
chr3	+	189100014	189100036	3	22	185.54	3.67	4.57	0.0	58.33	
chr3	+	190322320	190322339	3	19	105.28	5.8	7.5	0.0	34.72	
chr3	+	190322364	190322388	3	24	52.53	4.86	7.5	0.0	13.49	
chr3	+	190322632	190322654	3	22	118.16	4.38	8.0	0.0	43.33	
chr3	+	190513965	190513988	3	23	68.27	7.14	8.0	0.0	17.92	
chr3	+	190862980	190862998	3	18	283.55	6.25	5.0	0.0	52.78	
chr3	+	190862982	190863006	3	24	299.71	4.83	5.0	0.0	56.48	
chr3	+	190862998	190863022	4	24	289.42	5.57	5.18	0.0	46.97	
chr3	+	190863018	190863037	3	19	191.44	6.0	5.25	0.0	41.67	
chr3	+	190863037	190863055	3	18	122.75	4.38	5.0	0.0	27.38	
chr3	+	192408191	192408214	3	23	128.27	4.5	6.25	0.0	36.94	
chr3	+	192467477	192467497	3	20	333.1	6.5	4.89	0.0	87.96	
chr3	+	194204184	194204202	3	18	166.68	3.88	6.83	0.0	47.22	
chr3	+	194204265	194204289	3	24	175.45	4.0	5.67	0.0	34.69	
chr3	+	194204283	194204306	3	23	184.37	3.88	5.67	0.0	36.08	
chr3	+	194204289	194204311	3	22	198.2	4.0	6.12	0.0	40.94	
chr3	+	194397517	194397538	3	21	106.07	6.5	2.43	0.0	57.14	
chr3	+	194687194	194687217	3	23	175.44	3.29	4.86	0.0	64.52	
chr3	+	194687240	194687263	3	23	146.94	3.5	5.5	0.0	58.33	
chr3	+	194687242	194687265	3	23	161.25	3.5	5.5	0.0	63.89	
chr3	+	194687263	194687284	4	21	291.77	3.38	5.0	0.0	81.48	
chr3	+	194687265	194687284	3	19	229.37	3.33	4.86	0.0	83.33	
chr3	+	194687397	194687415	3	18	244.24	3.33	4.38	0.0	81.25	
chr3	+	194687407	194687426	3	19	298.82	2.88	4.38	0.0	97.92	
chr3	+	194687415	194687438	4	23	359.96	2.82	4.6	0.0	92.67	
chr3	+	194687426	194687450	6	24	457.55	2.69	4.86	0.0	82.38	
chr3	+	194687476	194687499	3	23	148.2	2.88	4.38	0.0	44.58	
chr3	+	194687499	194687521	3	22	215.9	2.88	4.38	0.0	68.33	
chr3	+	195260155	195260173	4	18	90.28	5.0	5.6	0.0	18.19	
chr3	+	195260237	195260259	3	22	75.68	4.75	5.83	0.0	24.76	
chr3	+	195271072	195271095	3	23	65.1	4.33	8.0	0.0	14.44	
chr3	+	195271093	195271115	3	22	59.87	4.5	8.0	0.0	15.0	
chr3	+	195442583	195442606	3	23	167.04	6.25	5.0	0.0	44.17	
chr3	+	195442586	195442609	3	23	206.39	5.67	4.67	0.0	48.52	
chr3	+	195442606	195442626	3	20	214.21	5.67	4.67	0.0	50.37	
chr3	+	195442935	195442953	4	18	107.61	6.0	5.6	0.0	21.26	
chr3	+	195634653	195634674	3	21	220.98	8.62	9.67	0.0	20.68	
chr3	+	195658381	195658404	3	23	240.36	7.86	7.88	0.0	25.0	
chr3	+	195762298	195762316	3	18	311.06	3.29	5.67	0.0	57.41	
chr3	+	195762303	195762324	3	21	382.56	3.29	5.67	0.0	69.63	
chr3	+	196528215	196528234	3	19	390.99	4.88	6.5	0.0	83.21	
chr3	+	196568563	196568582	3	19	79.77	5.67	8.0	0.0	18.71	
chr3	+	196568582	196568603	3	21	113.97	5.67	7.25	0.0	23.96	
chr3	+	196639813	196639831	3	18	48.74	5.5	6.0	0.0	15.83	
chr3	+	196639822	196639842	3	20	46.95	5.5	5.83	0.0	8.33	
chr3	+	196942664	196942687	3	23	38.93	7.14	7.5	0.0	11.11	
chr3	+	196942928	196942952	3	24	104.36	8.0	6.71	0.0	28.57	
chr3	+	196968892	196968915	4	23	159.73	5.0	3.45	0.0	40.15	
